dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,llama,16,0,2,LPE -var,0.45063428248227305,0.1757188498402556
goemotions,llama,16,4,0,GPP neg-latent-var,0.5010841238643198,0.20426690876078074
goemotions,llama,16,4,0,GPP -MI,0.4936254438456097,0.20426690876078074
goemotions,llama,16,4,0,Maha,0.5436172639524783,0.20426690876078074
goemotions,llama,16,4,0,MSP,0.45984363731045114,0.20426690876078074
goemotions,llama,16,4,0,kNN,0.5283243200895872,0.20426690876078074
goemotions,llama,16,4,0,LPE -var,0.527365774866299,0.20426690876078074
goemotions,llama,16,4,1,GPP neg-latent-var,0.499920505263934,0.18247843849296413
goemotions,llama,16,4,1,GPP -MI,0.49784903373572265,0.18247843849296413
goemotions,llama,16,4,1,Maha,0.5331539133299998,0.18247843849296413
goemotions,llama,16,4,1,MSP,0.4603505602650746,0.18247843849296413
goemotions,llama,16,4,1,kNN,0.5330156616151025,0.18247843849296413
goemotions,llama,16,4,1,LPE -var,0.47564580832321407,0.18247843849296413
goemotions,llama,16,4,2,GPP neg-latent-var,0.500160141569756,0.18066273263731275
goemotions,llama,16,4,2,GPP -MI,0.4961462334472374,0.18066273263731275
goemotions,llama,16,4,2,Maha,0.5404098241668607,0.18066273263731275
goemotions,llama,16,4,2,MSP,0.4618045074667447,0.18066273263731275
goemotions,llama,16,4,2,kNN,0.5346700738033738,0.18066273263731275
goemotions,llama,16,4,2,LPE -var,0.4668506950604967,0.18066273263731275
goemotions,llama,16,2,0,GPP neg-latent-var,0.4583299930522153,0.14991181657848324
goemotions,llama,16,2,0,GPP -MI,0.45640265084709536,0.14991181657848324
goemotions,llama,16,2,0,Maha,0.5063999786222009,0.14991181657848324
goemotions,llama,16,2,0,MSP,0.4814748009192454,0.14991181657848324
goemotions,llama,16,2,0,kNN,0.47186481214258985,0.14991181657848324
goemotions,llama,16,2,0,LPE -var,0.5383030035807814,0.14991181657848324
goemotions,llama,16,2,1,GPP neg-latent-var,0.46044105071882857,0.15299823633156967
goemotions,llama,16,2,1,GPP -MI,0.4618539896317674,0.15299823633156967
goemotions,llama,16,2,1,Maha,0.5042555181444071,0.15299823633156967
goemotions,llama,16,2,1,MSP,0.447594329538774,0.15299823633156967
goemotions,llama,16,2,1,kNN,0.46771284271284275,0.15299823633156967
goemotions,llama,16,2,1,LPE -var,0.4595859387526054,0.15299823633156967
goemotions,llama,16,2,2,GPP neg-latent-var,0.4570740473518251,0.16049382716049382
goemotions,llama,16,2,2,GPP -MI,0.4549162257495591,0.16049382716049382
goemotions,llama,16,2,2,Maha,0.4982864357864358,0.16049382716049382
goemotions,llama,16,2,2,MSP,0.531027871305649,0.16049382716049382
goemotions,llama,16,2,2,kNN,0.4715508257174924,0.16049382716049382
goemotions,llama,16,2,2,LPE -var,0.5006847576292021,0.16049382716049382
goemotions,llama,16,1,0,GPP neg-latent-var,0.4578639136686631,0.18161829375549693
goemotions,llama,16,1,0,GPP -MI,0.459556616548701,0.18161829375549693
goemotions,llama,16,1,0,Maha,0.54672557970711,0.18161829375549693
goemotions,llama,16,1,0,MSP,0.48205734947159756,0.18161829375549693
goemotions,llama,16,1,0,kNN,0.4834656084656085,0.18161829375549693
goemotions,llama,16,1,0,LPE -var,0.48923301363934607,0.18161829375549693
goemotions,llama,16,1,1,GPP neg-latent-var,0.45721824349792684,0.14028144239226034
goemotions,llama,16,1,1,GPP -MI,0.45208429311331677,0.14028144239226034
goemotions,llama,16,1,1,Maha,0.49980455389426365,0.14028144239226034
goemotions,llama,16,1,1,MSP,0.45781156203319795,0.14028144239226034
goemotions,llama,16,1,1,kNN,0.4617833061104828,0.14028144239226034
goemotions,llama,16,1,1,LPE -var,0.4744035403666011,0.14028144239226034
goemotions,llama,16,1,2,GPP neg-latent-var,0.458450251985872,0.14731750219876869
goemotions,llama,16,1,2,GPP -MI,0.4604256536974215,0.14731750219876869
goemotions,llama,16,1,2,Maha,0.557530957267105,0.14731750219876869
goemotions,llama,16,1,2,MSP,0.5064846225796094,0.14731750219876869
goemotions,llama,16,1,2,kNN,0.4801657103767922,0.14731750219876869
goemotions,llama,16,1,2,LPE -var,0.4765953288380729,0.14731750219876869
goemotions,llama,16,10,0,GPP neg-latent-var,0.5208246995441359,0.2020997375328084
goemotions,llama,16,10,0,GPP -MI,0.5072907553222513,0.2020997375328084
goemotions,llama,16,10,0,Maha,0.49845359242375403,0.2020997375328084
goemotions,llama,16,10,0,MSP,0.47688063114917656,0.2020997375328084
goemotions,llama,16,10,0,kNN,0.4426716397292444,0.2020997375328084
goemotions,llama,16,10,0,LPE -var,0.560321407192522,0.2020997375328084
goemotions,llama,16,10,1,GPP neg-latent-var,0.5207479547512701,0.16272965879265092
goemotions,llama,16,10,1,GPP -MI,0.5124441681631902,0.16272965879265092
goemotions,llama,16,10,1,Maha,0.5098962410400454,0.16272965879265092
goemotions,llama,16,10,1,MSP,0.4626905189482893,0.16272965879265092
goemotions,llama,16,10,1,kNN,0.45662384307224757,0.16272965879265092
goemotions,llama,16,10,1,LPE -var,0.4652230971128609,0.16272965879265092
goemotions,llama,16,10,2,GPP neg-latent-var,0.5187909625331921,0.16666666666666666
goemotions,llama,16,10,2,GPP -MI,0.5071948243311691,0.16666666666666666
goemotions,llama,16,10,2,Maha,0.4534197479701002,0.16666666666666666
goemotions,llama,16,10,2,MSP,0.49423262881613483,0.16666666666666666
goemotions,llama,16,10,2,kNN,0.4316549247133582,0.16666666666666666
goemotions,llama,16,10,2,LPE -var,0.5564803303095884,0.16666666666666666
goemotions,llama,16,7,0,GPP neg-latent-var,0.5430894725165959,0.17449956483899043
goemotions,llama,16,7,0,GPP -MI,0.5507943821566921,0.17449956483899043
goemotions,llama,16,7,0,Maha,0.586759159712623,0.17449956483899043
goemotions,llama,16,7,0,MSP,0.4575931329886176,0.17449956483899043
goemotions,llama,16,7,0,kNN,0.5738365842420519,0.17449956483899043
goemotions,llama,16,7,0,LPE -var,0.6029027799109201,0.17449956483899043
goemotions,llama,16,7,1,GPP neg-latent-var,0.5463873103636581,0.16013925152306355
goemotions,llama,16,7,1,GPP -MI,0.55132766770764,0.16013925152306355
goemotions,llama,16,7,1,Maha,0.5912046280653254,0.16013925152306355
goemotions,llama,16,7,1,MSP,0.5227435621768289,0.16013925152306355
goemotions,llama,16,7,1,kNN,0.5463574463728049,0.16013925152306355
goemotions,llama,16,7,1,LPE -var,0.5472746975204356,0.16013925152306355
goemotions,llama,16,7,2,GPP neg-latent-var,0.5432558576084916,0.15926892950391644
goemotions,llama,16,7,2,GPP -MI,0.5530555128927115,0.15926892950391644
goemotions,llama,16,7,2,Maha,0.6041570675267496,0.15926892950391644
goemotions,llama,16,7,2,MSP,0.4222640318094166,0.15926892950391644
goemotions,llama,16,7,2,kNN,0.5721428693322411,0.15926892950391644
goemotions,llama,16,7,2,LPE -var,0.5121290465707605,0.15926892950391644
goemotions,llama,32,27,0,GPP neg-latent-var,0.4795444461188132,0.1962025316455696
goemotions,llama,32,27,0,GPP -MI,0.47995361998526553,0.1962025316455696
goemotions,llama,32,27,0,Maha,0.5082682422476726,0.1962025316455696
goemotions,llama,32,27,0,MSP,0.521390060947023,0.1962025316455696
goemotions,llama,32,27,0,kNN,0.4830219007434197,0.1962025316455696
goemotions,llama,32,27,0,LPE -var,0.5222125946018351,0.1962025316455696
goemotions,llama,32,27,1,GPP neg-latent-var,0.4778491477462996,0.19251054852320676
goemotions,llama,32,27,1,GPP -MI,0.48132660237090613,0.19251054852320676
goemotions,llama,32,27,1,Maha,0.5018386661978435,0.19251054852320676
goemotions,llama,32,27,1,MSP,0.520582178018887,0.19251054852320676
goemotions,llama,32,27,1,kNN,0.4821083232871207,0.19251054852320676
goemotions,llama,32,27,1,LPE -var,0.4992454875761838,0.19251054852320676
goemotions,llama,32,27,2,GPP neg-latent-var,0.4779239711003952,0.20675105485232068
goemotions,llama,32,27,2,GPP -MI,0.4771166114124975,0.20675105485232068
goemotions,llama,32,27,2,Maha,0.5099488898935101,0.20675105485232068
goemotions,llama,32,27,2,MSP,0.5243296246065233,0.20675105485232068
goemotions,llama,32,27,2,kNN,0.4817315903154511,0.20675105485232068
goemotions,llama,32,27,2,LPE -var,0.5218735349273325,0.20675105485232068
goemotions,llama,32,3,0,GPP neg-latent-var,0.5234291875834589,0.2380729653882133
goemotions,llama,32,3,0,GPP -MI,0.5287669863395197,0.2380729653882133
goemotions,llama,32,3,0,Maha,0.4951370689593614,0.2380729653882133
goemotions,llama,32,3,0,MSP,0.5150404530166597,0.2380729653882133
goemotions,llama,32,3,0,kNN,0.49837902298645376,0.2380729653882133
goemotions,llama,32,3,0,LPE -var,0.5034651061490014,0.2380729653882133
goemotions,llama,32,3,1,GPP neg-latent-var,0.5240308057041252,0.225444340505145
goemotions,llama,32,3,1,GPP -MI,0.530157670363256,0.225444340505145
goemotions,llama,32,3,1,Maha,0.5016334735323731,0.225444340505145
goemotions,llama,32,3,1,MSP,0.5050485936060669,0.225444340505145
goemotions,llama,32,3,1,kNN,0.49965545312377263,0.225444340505145
goemotions,llama,32,3,1,LPE -var,0.49798091960096835,0.225444340505145
goemotions,llama,32,3,2,GPP neg-latent-var,0.5265640285920351,0.2404115996258185
goemotions,llama,32,3,2,GPP -MI,0.5323713394125922,0.2404115996258185
goemotions,llama,32,3,2,Maha,0.5043041581273788,0.2404115996258185
goemotions,llama,32,3,2,MSP,0.5294025235827162,0.2404115996258185
goemotions,llama,32,3,2,kNN,0.49223876920000853,0.2404115996258185
goemotions,llama,32,3,2,LPE -var,0.49637779475717475,0.2404115996258185
goemotions,llama,32,0,0,GPP neg-latent-var,0.46864838541314074,0.2323140118667275
goemotions,llama,32,0,0,GPP -MI,0.47431751030204033,0.2323140118667275
goemotions,llama,32,0,0,Maha,0.5277964006734815,0.2323140118667275
goemotions,llama,32,0,0,MSP,0.5650540816170545,0.2323140118667275
goemotions,llama,32,0,0,kNN,0.5058754932640925,0.2323140118667275
goemotions,llama,32,0,0,LPE -var,0.4321331938617965,0.2323140118667275
goemotions,llama,32,0,1,GPP neg-latent-var,0.4709042428901181,0.1930625285257873
goemotions,llama,32,0,1,GPP -MI,0.4760558089967877,0.1930625285257873
goemotions,llama,32,0,1,Maha,0.5617980472528984,0.1930625285257873
goemotions,llama,32,0,1,MSP,0.5262786650040728,0.1930625285257873
goemotions,llama,32,0,1,kNN,0.5108305180610545,0.1930625285257873
goemotions,llama,32,0,1,LPE -var,0.45675108479883997,0.1930625285257873
goemotions,llama,32,0,2,GPP neg-latent-var,0.47087366979749695,0.23003194888178913
goemotions,llama,32,0,2,GPP -MI,0.47417119621592463,0.23003194888178913
goemotions,llama,32,0,2,Maha,0.5351470456565462,0.23003194888178913
goemotions,llama,32,0,2,MSP,0.5594242649900966,0.23003194888178913
goemotions,llama,32,0,2,kNN,0.5127216822189078,0.23003194888178913
goemotions,llama,32,0,2,LPE -var,0.4774534360880418,0.23003194888178913
goemotions,llama,32,4,0,GPP neg-latent-var,0.500335260408626,0.25919201089423516
goemotions,llama,32,4,0,GPP -MI,0.4997177360820846,0.25919201089423516
goemotions,llama,32,4,0,Maha,0.5296238862096219,0.25919201089423516
goemotions,llama,32,4,0,MSP,0.4793117829632411,0.25919201089423516
goemotions,llama,32,4,0,kNN,0.5146350961195048,0.25919201089423516
goemotions,llama,32,4,0,LPE -var,0.5563732888470037,0.25919201089423516
goemotions,llama,32,4,1,GPP neg-latent-var,0.4998513794064854,0.2274171584203359
goemotions,llama,32,4,1,GPP -MI,0.4994711871905178,0.2274171584203359
goemotions,llama,32,4,1,Maha,0.5285086557094502,0.2274171584203359
goemotions,llama,32,4,1,MSP,0.5061141820913337,0.2274171584203359
goemotions,llama,32,4,1,kNN,0.5130521139839306,0.2274171584203359
goemotions,llama,32,4,1,LPE -var,0.48843639614646384,0.2274171584203359
goemotions,llama,32,4,2,GPP neg-latent-var,0.5000933199075557,0.21561507035860192
goemotions,llama,32,4,2,GPP -MI,0.4944710835017316,0.21561507035860192
goemotions,llama,32,4,2,Maha,0.5266560827298261,0.21561507035860192
goemotions,llama,32,4,2,MSP,0.4340274337486261,0.21561507035860192
goemotions,llama,32,4,2,kNN,0.519437039016938,0.21561507035860192
goemotions,llama,32,4,2,LPE -var,0.4445783437905394,0.21561507035860192
goemotions,llama,32,2,0,GPP neg-latent-var,0.45514670514670513,0.21516754850088182
goemotions,llama,32,2,0,GPP -MI,0.44996926941371385,0.21516754850088182
goemotions,llama,32,2,0,Maha,0.5194370958259847,0.21516754850088182
goemotions,llama,32,2,0,MSP,0.49491609213831433,0.21516754850088182
goemotions,llama,32,2,0,kNN,0.47191825664047893,0.21516754850088182
goemotions,llama,32,2,0,LPE -var,0.49394741061407726,0.21516754850088182
