K,rep,n_obs,method,acc,brier,ece,mi
8,2,128,GPP-cosine,0.552,0.5853948728957341,0.06084205788373947,0.03398076072335243
8,2,128,GPP-rbf,0.806,0.2940820546996566,0.14737744923681018,0.19690752029418945
8,2,128,LPE,0.6535,0.49193833850686464,0.11639363104104994,0.16878026723861694
8,2,128,LP,0.654,0.4872543622507542,0.08497294811709223,
8,2,128,SVM,0.7095,0.4895691291082753,0.25950195873822024,
8,2,512,GPP-cosine,0.6235,0.5093826607101132,0.09643883866071698,0.008593260310590267
8,2,512,GPP-rbf,0.9865,0.052829692891672934,0.12887307965755462,0.03554008528590202
8,2,512,LPE,0.8125,0.3089074618228216,0.1672329469323158,0.04737088456749916
8,2,512,LP,0.809,0.30465821854895003,0.1529903462243132,
8,2,512,SVM,0.92,0.15482311562717962,0.13620842334870334,
8,3,32,GPP-cosine,0.416,0.7874461256733495,0.13230375710874795,0.10087329894304276
8,3,32,GPP-rbf,0.4405,0.6715428875247862,0.07341173680871725,0.4142831563949585
8,3,32,LPE,0.4265,0.7567719050264671,0.0664187065064907,0.30558690428733826
8,3,32,LP,0.454,0.7646813126744189,0.14375930155201336,
8,3,32,SVM,0.3605,0.8274212865145655,0.11019599688781784,
8,3,128,GPP-cosine,0.59,0.5673884481887514,0.1265081791803241,0.0331459604203701
8,3,128,GPP-rbf,0.7835,0.31635837921309745,0.13059492246806623,0.20480577647686005
8,3,128,LPE,0.6635,0.5025158536803666,0.15196756715327506,0.16222873330116272
8,3,128,LP,0.683,0.48878430459356415,0.1502610326052068,
8,3,128,SVM,0.728,0.532694201188616,0.30188547415674694,
8,3,512,GPP-cosine,0.639,0.509924785597105,0.1290659446641803,0.008645188994705677
8,3,512,GPP-rbf,0.982,0.05396388468995484,0.12584615959227083,0.03882545232772827
8,3,512,LPE,0.802,0.3296375111468441,0.14874573780596254,0.0452444888651371
8,3,512,LP,0.8025,0.32478480826663647,0.13627208289202603,
8,3,512,SVM,0.8945,0.19836521563904122,0.13550295304065058,
8,4,32,GPP-cosine,0.42,0.7925944587373481,0.14971909219026563,0.12334097921848297
8,4,32,GPP-rbf,0.411,0.6837079047041935,0.1119234289228916,0.4595159888267517
8,4,32,LPE,0.388,0.8236675466750628,0.19194968558102848,0.26668351888656616
8,4,32,LP,0.39,0.8656224021438454,0.24442657929823253,
8,4,32,SVM,0.245,0.8542997175914144,0.04807013448793125,
8,4,128,GPP-cosine,0.5745,0.5649414613420523,0.07610587744414808,0.032730359584093094
8,4,128,GPP-rbf,0.828,0.28553906223141956,0.15118605929613113,0.18253347277641296
8,4,128,LPE,0.6575,0.49398760951199966,0.13314082542061806,0.17255499958992004
8,4,128,LP,0.662,0.47972864018549294,0.09381940049050477,
8,4,128,SVM,0.748,0.49354630854207365,0.31183342802896574,
