dataset,model,layer,heldout,seed,method,auroc,id_acc
goemotions,qwen,10,1,2,Maha,0.48891192360849356,0.14819700967458224
goemotions,qwen,10,1,2,MSP,0.5082541078583295,0.14819700967458224
goemotions,qwen,10,1,2,kNN,0.46255811031536626,0.14819700967458224
goemotions,qwen,10,1,2,LPE -var,0.46177283578338985,0.14819700967458224
goemotions,qwen,10,10,0,GPP neg-latent-var,0.5105293855811883,0.19597550306211722
goemotions,qwen,10,10,0,GPP -MI,0.4984401620850025,0.19597550306211722
goemotions,qwen,10,10,0,Maha,0.43559193258737394,0.19597550306211722
goemotions,qwen,10,10,0,MSP,0.5266764900001535,0.19597550306211722
goemotions,qwen,10,10,0,kNN,0.4211447253303864,0.19597550306211722
goemotions,qwen,10,10,0,LPE -var,0.4916194686190542,0.19597550306211722
goemotions,qwen,10,10,1,GPP neg-latent-var,0.5119683504474222,0.15748031496062992
goemotions,qwen,10,10,1,GPP -MI,0.5059170235299535,0.15748031496062992
goemotions,qwen,10,10,1,Maha,0.4423454743595647,0.15748031496062992
goemotions,qwen,10,10,1,MSP,0.4904299243296342,0.15748031496062992
goemotions,qwen,10,10,1,kNN,0.4211639115286028,0.15748031496062992
goemotions,qwen,10,10,1,LPE -var,0.4574603613144848,0.15748031496062992
goemotions,qwen,10,10,2,GPP neg-latent-var,0.5100919402618532,0.16229221347331582
goemotions,qwen,10,10,2,GPP -MI,0.4993284830624242,0.16229221347331582
goemotions,qwen,10,10,2,Maha,0.42201961596905646,0.16229221347331582
goemotions,qwen,10,10,2,MSP,0.5033806081257387,0.16229221347331582
goemotions,qwen,10,10,2,kNN,0.41413408850209515,0.16229221347331582
goemotions,qwen,10,10,2,LPE -var,0.5178661877791592,0.16229221347331582
goemotions,qwen,10,7,0,GPP neg-latent-var,0.545772965408966,0.15796344647519583
goemotions,qwen,10,7,0,GPP -MI,0.5512124780286354,0.15796344647519583
goemotions,qwen,10,7,0,Maha,0.518643662861141,0.15796344647519583
goemotions,qwen,10,7,0,MSP,0.5171461970340792,0.15796344647519583
goemotions,qwen,10,7,0,kNN,0.5116298912950733,0.15796344647519583
goemotions,qwen,10,7,0,LPE -var,0.5660890117578798,0.15796344647519583
goemotions,qwen,10,7,1,GPP neg-latent-var,0.5485289851362651,0.1514360313315927
goemotions,qwen,10,7,1,GPP -MI,0.5483647331865731,0.1514360313315927
goemotions,qwen,10,7,1,Maha,0.5329869110394375,0.1514360313315927
goemotions,qwen,10,7,1,MSP,0.500482090138057,0.1514360313315927
goemotions,qwen,10,7,1,kNN,0.5105121247802864,0.1514360313315927
goemotions,qwen,10,7,1,LPE -var,0.5256659669960237,0.1514360313315927
goemotions,qwen,10,7,2,GPP neg-latent-var,0.5461910612809092,0.13446475195822455
goemotions,qwen,10,7,2,GPP -MI,0.5450711616239186,0.13446475195822455
goemotions,qwen,10,7,2,Maha,0.5102220174405707,0.13446475195822455
goemotions,qwen,10,7,2,MSP,0.48968412430246255,0.13446475195822455
goemotions,qwen,10,7,2,kNN,0.5152775644635574,0.13446475195822455
goemotions,qwen,10,7,2,LPE -var,0.4750806327753033,0.13446475195822455
goemotions,qwen,19,27,0,GPP neg-latent-var,0.49318950505659365,0.17563291139240506
goemotions,qwen,19,27,0,GPP -MI,0.49339304550934304,0.17563291139240506
goemotions,qwen,19,27,0,Maha,0.5580838523876498,0.17563291139240506
goemotions,qwen,19,27,0,MSP,0.5042780121894046,0.17563291139240506
goemotions,qwen,19,27,0,kNN,0.5506370973143124,0.17563291139240506
goemotions,qwen,19,27,0,LPE -var,0.5644715692184046,0.17563291139240506
goemotions,qwen,19,27,1,GPP neg-latent-var,0.49258045341906104,0.16824894514767932
goemotions,qwen,19,27,1,GPP -MI,0.4955294354028531,0.16824894514767932
goemotions,qwen,19,27,1,Maha,0.553784910588708,0.16824894514767932
goemotions,qwen,19,27,1,MSP,0.5082996366619784,0.16824894514767932
goemotions,qwen,19,27,1,kNN,0.5545760498292144,0.16824894514767932
goemotions,qwen,19,27,1,LPE -var,0.5676298472975687,0.16824894514767932
goemotions,qwen,19,27,2,GPP neg-latent-var,0.4922079063692988,0.17405063291139242
goemotions,qwen,19,27,2,GPP -MI,0.49322456215256844,0.17405063291139242
goemotions,qwen,19,27,2,Maha,0.5642172744625277,0.17405063291139242
goemotions,qwen,19,27,2,MSP,0.5198799896189137,0.17405063291139242
goemotions,qwen,19,27,2,kNN,0.5546995345254838,0.17405063291139242
goemotions,qwen,19,27,2,LPE -var,0.5778466361931551,0.17405063291139242
goemotions,qwen,19,3,0,GPP neg-latent-var,0.5251662037003978,0.21889616463985032
goemotions,qwen,19,3,0,GPP -MI,0.5297765265390355,0.21889616463985032
goemotions,qwen,19,3,0,Maha,0.47340919315333585,0.21889616463985032
goemotions,qwen,19,3,0,MSP,0.510309628032191,0.21889616463985032
goemotions,qwen,19,3,0,kNN,0.46618799048836396,0.21889616463985032
goemotions,qwen,19,3,0,LPE -var,0.4825405779818479,0.21889616463985032
goemotions,qwen,19,3,1,GPP neg-latent-var,0.5245297738487136,0.20533208606173994
goemotions,qwen,19,3,1,GPP -MI,0.5281457308321253,0.20533208606173994
goemotions,qwen,19,3,1,Maha,0.47261655681631554,0.20533208606173994
goemotions,qwen,19,3,1,MSP,0.5287884089432229,0.20533208606173994
goemotions,qwen,19,3,1,kNN,0.4680481865765965,0.20533208606173994
goemotions,qwen,19,3,1,LPE -var,0.5244342647405366,0.20533208606173994
goemotions,qwen,19,3,2,GPP neg-latent-var,0.5252001228229278,0.21094480823199252
goemotions,qwen,19,3,2,GPP -MI,0.5246475981690815,0.21094480823199252
goemotions,qwen,19,3,2,Maha,0.46445097437142513,0.21094480823199252
goemotions,qwen,19,3,2,MSP,0.5401013289155163,0.21094480823199252
goemotions,qwen,19,3,2,kNN,0.4689390098472569,0.21094480823199252
goemotions,qwen,19,3,2,LPE -var,0.49728289976363726,0.21094480823199252
goemotions,qwen,19,0,0,GPP neg-latent-var,0.46626368418868835,0.209036969420356
goemotions,qwen,19,0,0,GPP -MI,0.46316597476846344,0.209036969420356
goemotions,qwen,19,0,0,Maha,0.508856369794658,0.209036969420356
goemotions,qwen,19,0,0,MSP,0.556028467916815,0.209036969420356
goemotions,qwen,19,0,0,kNN,0.5007086406111124,0.209036969420356
goemotions,qwen,19,0,0,LPE -var,0.4279839884346358,0.209036969420356
goemotions,qwen,19,0,1,GPP neg-latent-var,0.4662898896966494,0.1770880876312186
goemotions,qwen,19,0,1,GPP -MI,0.4670771468316449,0.1770880876312186
goemotions,qwen,19,0,1,Maha,0.5189018145130471,0.1770880876312186
goemotions,qwen,19,0,1,MSP,0.5644404359723008,0.1770880876312186
goemotions,qwen,19,0,1,kNN,0.5043293682943927,0.1770880876312186
goemotions,qwen,19,0,1,LPE -var,0.47910875067424585,0.1770880876312186
goemotions,qwen,19,0,2,GPP neg-latent-var,0.4673861534463518,0.19397535371976266
goemotions,qwen,19,0,2,GPP -MI,0.4632216614728805,0.19397535371976266
goemotions,qwen,19,0,2,Maha,0.5204282853517762,0.19397535371976266
goemotions,qwen,19,0,2,MSP,0.5443735682511536,0.19397535371976266
goemotions,qwen,19,0,2,kNN,0.49967352304665236,0.19397535371976266
goemotions,qwen,19,0,2,LPE -var,0.48141265158248514,0.19397535371976266
goemotions,qwen,19,4,0,GPP neg-latent-var,0.5012569385079414,0.20653654108034497
goemotions,qwen,19,4,0,GPP -MI,0.4959572894368778,0.20653654108034497
goemotions,qwen,19,4,0,Maha,0.5149115995492994,0.20653654108034497
goemotions,qwen,19,4,0,MSP,0.4936968738983067,0.20653654108034497
goemotions,qwen,19,4,0,kNN,0.519699717275243,0.20653654108034497
goemotions,qwen,19,4,0,LPE -var,0.535741524593828,0.20653654108034497
goemotions,qwen,19,4,1,GPP neg-latent-var,0.5001301870315282,0.2106218792555606
goemotions,qwen,19,4,1,GPP -MI,0.5021820729001292,0.2106218792555606
goemotions,qwen,19,4,1,Maha,0.5284095753137739,0.2106218792555606
goemotions,qwen,19,4,1,MSP,0.47842697198789835,0.2106218792555606
goemotions,qwen,19,4,1,kNN,0.5201766856916388,0.2106218792555606
goemotions,qwen,19,4,1,LPE -var,0.4955747930256618,0.2106218792555606
goemotions,qwen,19,4,2,GPP neg-latent-var,0.5010760591809508,0.1929187471629596
goemotions,qwen,19,4,2,GPP -MI,0.4981128640916517,0.1929187471629596
